Makoto Yano,Executive Producer
Gozo Kitao,Producer
Keiichiro Toyama,Director
Akihiro Imamura,Game System Programmer
Naoto Oshima,Graphic System Programmer
Yuki Mizuochi,Character System Programmer
Kazutoshi Sugai,Enemy Programmer
Hiroyuki Owaku,Enemy Programmer
Kazumasa Ogiso,Enemy Programmer
Hiroyuki Owaku,Event Programmer
Isao Takahashi,Background Designer
Masahiro Ito,Background Designer
Masashi Tsuboyama,Background Designer
Mihoko Kimura,Background Designer
Takayuki Ando,Background Designer
Tomohisa Koike,Background Designer
Takamitsu Nemoto,Background Designer
Kazuyuki Kaiho,Background Designer
Tatsuto Yabe,Background Designer
Soichiro Kitai,Background Designer
Keiichiro Toyama,Background Designer
Naoko Sato,Monster Designer
Masahiro Ito,Monster Designer
Naoko Sato,Motion/Story Demo Designer
Takayuki Ando,Motion/Story Demo Designer
Masashi Tsuboyama,Motion/Story Demo Designer
Takayoshi Sato,Character Designer
Takayoshi Sato,CGI Creator
Kenichiro Imaizumi,Digital Technician
Akira Yamaoka,Sound Director
AKT,Sound Programmer
Daisuke Nakayama,Package Designer
Shigeyuki Tamura,Publicity
Kanako Nakahara,Publicity
Taro Miyake,Publicity
Tatsuhiko Urushibara,Play Check
RMC,Play Check
Harry Inaba,Recording Director
Scott Greiner,Audio Engineer
Harry Inaba,Senior Product Coordinator
Aki Saito,Product Coordinator